Vendor,Brand,DS#,UPC,Product Name,Vendor Item#,Wholesale Cost,Drop Ship Cost,MSRP,Case Qty,# Images,Has Compliance Docs,Supplier ID,Source File,File Path
Cactus Games,Wee Believers,5531371,853922006632,Liam the Lion Prayer Buddy,W2017203,15,,30,24,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531371.json
CANAL TOYS,Airbrush Plush,5529831,850020801930,Airbrush Plush Refill Marker Set – 7 Colors & Stencils,228256,4.19,7.19,8.99,4,8,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5529831.json
CANAL TOYS,Airbrush Plush,5530496,850041019192,Airbrush Plush Unicorn Paint Bucket Set,228313,11.43,18.74,24.99,6,2,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530496.json
CANAL TOYS,Airbrush Plush,5530978,850033017861,Airbrush Plush Panda – Customizable Stuffed Animal Kit,228294,19.17,29.99,39.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530978.json
CANAL TOYS,Airbrush Plush,5530979,850033017908,Airbrush Plush Mini Mystery 2-Pack – DIY Plush Decorating Kit,228311,7.92,11.93,16.99,12,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530979.json
CANAL TOYS,Airbrush Plush,5530980,850041019505,Airbrush Plush Koala – DIY Stuffed Animal Decorating Kit,228349,14.36,21.49,29.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530980.json
CANAL TOYS,Airbrush Plush,5530981,850041019512,Airbrush Plush Kitty – DIY Stuffed Animal Decorating Kit,228350,14.36,21.49,29.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530981.json
CANAL TOYS,Airbrush Plush,5530983,850060743054,Airbrush Plush Light-Up Cosmic Unicorn with Fortune Teller,228387,15.39,21.49,29.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530983.json
CANAL TOYS,Airbrush Plush,5530986,850052337957,Airbrush Plush Neon Puppy – DIY Stuffed Animal Decorating Kit,228412,15.39,21.49,29.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530986.json
CANAL TOYS,Airbrush Plush,5530991,850060743238,Airbrush Plush Hair'iffic Squishy Kitty – Styling & Airbrush Kit,AIR040,13.85,18.74,24.99,6,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530991.json
CANAL TOYS,Airbrush Plush,5530992,850060743733,Airbrush Plush Hair'iffic Hair Salon & Squishy Plush Styling Set,AIR044,21.69,29.99,39.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530992.json
CANAL TOYS,Airbrush Plush,5530993,850060743559,Airbrush Plush Light-Up Axolotl – DIY Mood Light Plush Kit,AIR049,18.67,21.49,29.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530993.json
CANAL TOYS,Airbrush Plush,5530994,850068897995,Airbrush Plush Kawaii Bear – DIY Squishy Plush Decorating Kit,AIR067,18.12,21.49,29.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530994.json
CANAL TOYS,Airbrush Plush,5530995,850060743788,Art Lab by Canal Toys Fluffy Puffy Paint Studio,ART017,15.82,21.49,29.99,6,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530995.json
CANAL TOYS,Doodle,5530999,850060743825,"Doodle Copy Machine – Trace, Print & Color Drawing Toy",LIT004,19.13,24.5,34.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530999.json
CANAL TOYS,Paw Patrol,5530989,850052337742,Paw Patrol Instant Print Camera for Kids,777001,45.36,51.99,59.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530989.json
CANAL TOYS,Photo Creator,5529941,850020801756,Photo Creator Kids Instant Print Camera,872008,34.42,42.99,49.99,4,9,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5529941.json
CANAL TOYS,Photo Creator,5530990,850041019895,Photo Creator Instant Camera Thermal Paper Refill – 10 Rolls,872083,5.89,8.11,9.99,12,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530990.json
